Date_reported,Sever_Location,Packet_Size,No._of_Packets,Attack_Packets,Total_Loss(Y)
6/14/2020,Europe,204.0,1416,3.0,36
6/21/2020,Europe,422.0,1838,6.0,42
6/28/2020,Europe,431.0,2269,9.0,51
7/5/2020,Europe,483.0,2752,21.0,72
7/12/2020,Europe,526.0,3278,13.0,85
7/19/2020,Europe,628.0,3906,22.0,107
7/26/2020,Europe,664.0,4570,21.0,128
8/2/2020,Europe,706.0,5276,29.0,157
8/9/2020,Europe,875.0,6151,32.0,189
8/16/2020,Europe,966.0,7117,30.0,219
8/23/2020,Europe,1002.0,8119,21.0,240
8/30/2020,Europe,1076.0,9195,31.0,271
9/6/2020,Europe,772.0,9967,35.0,306
9/13/2020,Europe,1054.0,11021,21.0,327
9/20/2020,Europe,1052.0,12073,26.0,353
9/27/2020,Europe,972.0,13045,20.0,373
10/4/2020,Europe,920.0,13965,16.0,389
10/11/2020,Europe,1101.0,15066,24.0,413
10/18/2020,Europe,1435.0,16501,30.0,443
10/25/2020,Europe,2055.0,18556,26.0,469
11/1/2020,Europe,2078.0,20634,33.0,502
11/8/2020,Europe,2576.0,23210,47.0,549
11/15/2020,Europe,3491.0,26701,56.0,605
11/22/2020,Europe,4758.0,31459,67.0,672
11/29/2020,Europe,4786.0,36245,99.0,771
12/6/2020,Europe,5057.0,41302,99.0,870
12/13/2020,Europe,5561.0,46863,107.0,977
12/20/2020,Europe,5141.0,52004,89.0,1066
12/27/2020,Europe,3376.0,55380,68.0,1134
1/3/2021,Europe,3343.0,58723,52.0,1186
1/10/2021,Europe,3655.0,62378,44.0,1230
1/17/2021,Europe,4257.0,66635,35.0,1265
1/24/2021,Europe,4020.0,70655,38.0,1303
1/31/2021,Europe,5695.0,76350,55.0,1358
2/7/2021,Europe,6732.0,83082,75.0,1433
2/14/2021,Europe,7753.0,90835,98.0,1531
2/21/2021,Europe,7074.0,97909,105.0,1636
2/28/2021,Europe,7320.0,105229,120.0,1756
3/7/2021,Europe,6072.0,111301,141.0,1897
3/14/2021,Europe,4822.0,116123,121.0,2018
3/21/2021,Europe,3899.0,120022,104.0,2122
3/28/2021,Europe,3194.0,123216,70.0,2192
4/4/2021,Europe,2626.0,125842,55.0,2247
4/11/2021,Europe,1953.0,127795,57.0,2304
4/18/2021,Europe,1512.0,129307,33.0,2337
4/25/2021,Europe,963.0,130270,30.0,2367
5/2/2021,Europe,815.0,131085,27.0,2394
5/9/2021,Europe,492.0,131577,14.0,2408
5/16/2021,Europe,362.0,131939,19.0,2427
5/23/2021,Europe,214.0,132153,14.0,2441
5/30/2021,Europe,132.0,132285,7.0,2448
6/6/2021,Europe,87.0,132372,3.0,2451
6/13/2021,Europe,65.0,132437,2.0,2453
6/20/2021,Europe,47.0,132484,1.0,2454
6/27/2021,Europe,22.0,132506,1.0,2455
7/4/2021,Europe,20.0,132526,1.0,2456
8/1/2021,Europe,208.0,133036,1.0,2457
8/8/2021,Europe,555.0,133591,1.0,2458
8/15/2021,Europe,1549.0,135140,3.0,2461
8/22/2021,Europe,2992.0,138132,14.0,2475
8/29/2021,Europe,5042.0,143174,12.0,2487
9/5/2021,Europe,5943.0,149117,21.0,2508
9/12/2021,Europe,6176.0,155293,27.0,2535
9/19/2021,Europe,6031.0,161324,34.0,2569
9/26/2021,Europe,5366.0,166690,50.0,2619
10/3/2021,Europe,4088.0,170778,86.0,2705
10/10/2021,Europe,3390.0,174168,48.0,2753
10/17/2021,Europe,2940.0,177108,54.0,2807
10/24/2021,Europe,3515.0,180623,56.0,2863
10/31/2021,Europe,3717.0,184340,46.0,2909
11/7/2021,Europe,3654.0,187994,39.0,2948
11/14/2021,Europe,4019.0,192013,35.0,2983
11/21/2021,Europe,3510.0,195523,46.0,3029
11/28/2021,Europe,3209.0,198732,48.0,3077
12/5/2021,Europe,2313.0,201045,31.0,3108
12/12/2021,Europe,2170.0,203215,22.0,3130
12/19/2021,Europe,2009.0,205224,28.0,3158
12/26/2021,Europe,1997.0,207221,29.0,3187
1/2/2022,Europe,3003.0,210224,30.0,3217
1/9/2022,Europe,6462.0,216686,16.0,3233
1/16/2022,Europe,12091.0,228777,29.0,3262
1/23/2022,Europe,15405.0,244182,30.0,3292
1/30/2022,Europe,11559.0,255741,42.0,3334
2/6/2022,Europe,7431.0,263172,37.0,3371
2/13/2022,Europe,4379.0,267551,36.0,3407
2/20/2022,Europe,2353.0,269904,26.0,3433
2/27/2022,Europe,1410.0,271314,27.0,3460
3/6/2022,Europe,716.0,272030,18.0,3478
3/13/2022,Europe,522.0,272552,7.0,3485
3/20/2022,Europe,409.0,272961,2.0,3487
3/27/2022,Europe,357.0,273318,3.0,3490
4/3/2022,Europe,441.0,273759,2.0,3492
4/17/2022,Europe,268.0,274376,3.0,3495
4/24/2022,Europe,309.0,274685,1.0,3496
5/15/2022,Europe,219.0,275485,1.0,3497
7/3/2022,Europe,2640.0,280851,3.0,3500
7/10/2022,Europe,4880.0,285731,10.0,3510
7/17/2022,Europe,6725.0,292456,7.0,3517
7/24/2022,Europe,8938.0,301394,4.0,3521
7/31/2022,Europe,7884.0,309278,17.0,3538
8/7/2022,Europe,6059.0,315337,16.0,3554
8/14/2022,Europe,4749.0,320086,14.0,3568
8/21/2022,Europe,3511.0,323597,6.0,3574
8/28/2022,Europe,3218.0,326815,6.0,3580
9/4/2022,Europe,1901.0,328716,3.0,3583
9/11/2022,Europe,980.0,329696,1.0,3584
9/18/2022,Europe,617.0,330313,2.0,3586
9/25/2022,Europe,449.0,330762,3.0,3589
10/16/2022,Europe,155.0,331452,2.0,3591
10/23/2022,Europe,141.0,331593,1.0,3592
10/30/2022,Europe,152.0,331745,1.0,3593
11/13/2022,Europe,98.0,331998,1.0,3594
12/25/2022,Europe,132.0,332670,2.0,3596
2/19/2023,Europe,69.0,333390,1.0,3597
2/26/2023,Europe,93.0,333483,1.0,3598
3/5/2023,Europe,88.0,333571,1.0,3599
3/12/2023,Europe,80.0,333651,1.0,3600
3/19/2023,Europe,65.0,333716,1.0,3601
4/2/2023,Europe,84.0,333883,2.0,3603
4/9/2023,Europe,109.0,333992,1.0,3604
1/21/2024,Europe,66.0,334818,1.0,3605
3/29/2020,Africa,315.0,454,30.0,30
4/5/2020,Africa,797.0,1251,100.0,130
4/12/2020,Africa,574.0,1825,146.0,276
4/19/2020,Africa,709.0,2534,92.0,368
4/26/2020,Africa,722.0,3256,48.0,416
5/3/2020,Africa,1039.0,4295,40.0,456
5/10/2020,Africa,1263.0,5558,35.0,491
5/17/2020,Africa,1263.0,6821,48.0,539
5/24/2020,Africa,1292.0,8113,50.0,589
5/31/2020,Africa,1154.0,9267,54.0,643
6/7/2020,Africa,783.0,10050,52.0,695
6/14/2020,Africa,760.0,10810,53.0,748
6/21/2020,Africa,821.0,11631,77.0,825
6/28/2020,Africa,1337.0,12968,55.0,880
7/5/2020,Africa,2532.0,15500,54.0,934
7/12/2020,Africa,3212.0,18712,58.0,992
7/19/2020,Africa,3837.0,22549,64.0,1056
7/26/2020,Africa,4215.0,26764,78.0,1134
8/2/2020,Africa,4186.0,30950,77.0,1211
8/9/2020,Africa,3743.0,34693,70.0,1281
8/16/2020,Africa,3440.0,38133,67.0,1348
8/23/2020,Africa,2935.0,41068,64.0,1412
8/30/2020,Africa,2714.0,43782,77.0,1489
9/6/2020,Africa,2289.0,46071,58.0,1547
9/13/2020,Africa,1936.0,48007,56.0,1603
9/20/2020,Africa,1616.0,49623,60.0,1663
9/27/2020,Africa,1291.0,50914,46.0,1709
10/4/2020,Africa,1081.0,51995,47.0,1756
10/11/2020,Africa,945.0,52940,39.0,1795
10/18/2020,Africa,1263.0,54203,51.0,1846
10/25/2020,Africa,1427.0,55630,51.0,1897
11/1/2020,Africa,2312.0,57942,67.0,1964
11/8/2020,Africa,3439.0,61381,72.0,2036
11/15/2020,Africa,5438.0,66819,103.0,2139
11/22/2020,Africa,6955.0,73774,119.0,2258
11/29/2020,Africa,7438.0,81212,135.0,2393
12/6/2020,Africa,6290.0,87502,108.0,2501
12/13/2020,Africa,4136.0,91638,83.0,2584
12/20/2020,Africa,3143.0,94781,75.0,2659
12/27/2020,Africa,3076.0,97857,63.0,2722
1/3/2021,Africa,2302.0,100159,47.0,2769
1/10/2021,Africa,1754.0,101913,34.0,2803
1/17/2021,Africa,1698.0,103611,28.0,2831
1/24/2021,Africa,1758.0,105369,30.0,2861
1/31/2021,Africa,1753.0,107122,27.0,2888
2/7/2021,Africa,1730.0,108852,23.0,2911
2/14/2021,Africa,1661.0,110513,24.0,2935
2/21/2021,Africa,1251.0,111764,23.0,2958
2/28/2021,Africa,1196.0,112960,21.0,2979
3/7/2021,Africa,1144.0,114104,31.0,3010
3/14/2021,Africa,1039.0,115143,24.0,3034
3/21/2021,Africa,923.0,116066,21.0,3055
3/28/2021,Africa,684.0,116750,22.0,3077
4/4/2021,Africa,774.0,117524,25.0,3102
4/11/2021,Africa,854.0,118378,24.0,3126
4/18/2021,Africa,1108.0,119486,26.0,3152
4/25/2021,Africa,1250.0,120736,46.0,3198
5/2/2021,Africa,1575.0,122311,63.0,3261
5/9/2021,Africa,1589.0,123900,60.0,3321
5/16/2021,Africa,1294.0,125194,45.0,3366
5/23/2021,Africa,1457.0,126651,45.0,3411
5/30/2021,Africa,1805.0,128456,49.0,3460
6/6/2021,Africa,2225.0,130681,50.0,3510
6/13/2021,Africa,2389.0,133070,55.0,3565
6/20/2021,Africa,2516.0,135586,59.0,3624
6/27/2021,Africa,2527.0,138113,61.0,3685
7/4/2021,Africa,2894.0,141007,60.0,3745
7/11/2021,Africa,4289.0,145296,79.0,3824
7/18/2021,Africa,6914.0,152210,98.0,3922
7/25/2021,Africa,8658.0,160868,120.0,4042
8/1/2021,Africa,10524.0,171392,212.0,4254
8/8/2021,Africa,8964.0,180356,266.0,4520
8/15/2021,Africa,6299.0,186655,246.0,4766
8/22/2021,Africa,4516.0,191171,218.0,4984
8/29/2021,Africa,3500.0,194671,195.0,5179
9/5/2021,Africa,2988.0,197659,220.0,5399
9/12/2021,Africa,2163.0,199822,159.0,5558
9/19/2021,Africa,1402.0,201224,112.0,5670
9/26/2021,Africa,1350.0,202574,97.0,5767
10/3/2021,Africa,1083.0,203657,52.0,5819
10/10/2021,Africa,833.0,204490,31.0,5850
10/17/2021,Africa,709.0,205199,20.0,5870
10/24/2021,Africa,551.0,205750,16.0,5886
10/31/2021,Africa,608.0,206358,32.0,5918
11/7/2021,Africa,721.0,207079,23.0,5941
11/14/2021,Africa,794.0,207873,36.0,5977
11/21/2021,Africa,966.0,208839,40.0,6017
11/28/2021,Africa,1141.0,209980,35.0,6052
12/5/2021,Africa,1317.0,211297,44.0,6096
12/12/2021,Africa,1355.0,212652,41.0,6137
12/19/2021,Africa,1678.0,214330,43.0,6180
12/26/2021,Africa,2046.0,216376,49.0,6229
1/2/2022,Africa,2442.0,218818,55.0,6284
1/9/2022,Africa,2924.0,221742,46.0,6330
1/16/2022,Africa,3742.0,225484,74.0,6404
1/23/2022,Africa,9052.0,234536,77.0,6481
1/30/2022,Africa,14774.0,249310,74.0,6555
2/6/2022,Africa,8288.0,257598,85.0,6640
2/13/2022,Africa,3628.0,261226,75.0,6715
2/20/2022,Africa,2710.0,263936,72.0,6787
2/27/2022,Africa,842.0,264778,41.0,6828
3/6/2022,Africa,449.0,265227,25.0,6853
3/13/2022,Africa,183.0,265410,9.0,6862
3/20/2022,Africa,129.0,265539,9.0,6871
3/27/2022,Africa,82.0,265621,2.0,6873
4/3/2022,Africa,63.0,265684,1.0,6874
5/1/2022,Africa,19.0,265780,1.0,6875
7/24/2022,Africa,348.0,266772,1.0,6876
8/7/2022,Africa,767.0,268141,2.0,6878
9/11/2022,Africa,106.0,270532,1.0,6879
10/9/2022,Africa,25.0,270707,2.0,6881
3/27/2022,Oceania,1881.0,3278,2.0,2
4/3/2022,Oceania,1378.0,4656,5.0,7
4/10/2022,Oceania,746.0,5402,4.0,11
4/17/2022,Oceania,133.0,5535,7.0,18
4/24/2022,Oceania,230.0,5765,5.0,23
5/1/2022,Oceania,92.0,5857,3.0,26
5/8/2022,Oceania,98.0,5955,3.0,29
5/15/2022,Oceania,63.0,6018,1.0,30
5/29/2022,Oceania,62.0,6145,1.0,31
7/17/2022,Oceania,963.0,7468,2.0,33
8/28/2022,Oceania,126.0,8168,1.0,34
3/22/2020,Europe,131.0,133,1.0,1
3/29/2020,Europe,208.0,341,5.0,6
4/5/2020,Europe,125.0,466,11.0,17
4/12/2020,Europe,156.0,622,11.0,28
4/19/2020,Europe,82.0,704,7.0,35
4/26/2020,Europe,34.0,738,5.0,40
5/3/2020,Europe,9.0,747,4.0,44
5/10/2020,Europe,7.0,754,4.0,48
5/17/2020,Europe,7.0,761,3.0,51
6/21/2020,Europe,2.0,855,1.0,52
8/16/2020,Europe,41.0,997,1.0,53
10/11/2020,Europe,586.0,2696,2.0,55
10/18/2020,Europe,681.0,3377,4.0,59
10/25/2020,Europe,661.0,4038,10.0,69
11/1/2020,Europe,718.0,4756,6.0,75
11/22/2020,Europe,482.0,6207,1.0,76
12/6/2020,Europe,395.0,7005,2.0,78
12/20/2020,Europe,272.0,7560,2.0,80
12/27/2020,Europe,246.0,7806,3.0,83
1/3/2021,Europe,360.0,8166,1.0,84
1/10/2021,Europe,420.0,8586,1.0,85
1/17/2021,Europe,452.0,9038,6.0,91
1/24/2021,Europe,461.0,9499,5.0,96
1/31/2021,Europe,386.0,9885,5.0,101
2/7/2021,Europe,321.0,10206,4.0,105
2/14/2021,Europe,257.0,10463,2.0,107
2/28/2021,Europe,177.0,10849,3.0,110
3/7/2021,Europe,170.0,11019,2.0,112
3/21/2021,Europe,253.0,11481,1.0,113
3/28/2021,Europe,328.0,11809,2.0,115
4/4/2021,Europe,365.0,12174,2.0,117
4/11/2021,Europe,323.0,12497,3.0,120
4/18/2021,Europe,274.0,12771,3.0,123
4/25/2021,Europe,253.0,13024,1.0,124
5/2/2021,Europe,208.0,13232,1.0,125
5/9/2021,Europe,174.0,13406,2.0,127
8/1/2021,Europe,180.0,14678,1.0,128
8/15/2021,Europe,88.0,14924,1.0,129
8/29/2021,Europe,37.0,15025,1.0,130
11/28/2021,Europe,626.0,16712,1.0,131
12/5/2021,Europe,1298.0,18010,1.0,132
12/12/2021,Europe,1430.0,19440,1.0,133
12/19/2021,Europe,1109.0,20549,1.0,134
12/26/2021,Europe,1181.0,21730,5.0,139
1/2/2022,Europe,2010.0,23740,1.0,140
1/9/2022,Europe,2668.0,26408,1.0,141
1/16/2022,Europe,3480.0,29888,1.0,142
1/23/2022,Europe,3137.0,33025,2.0,144
1/30/2022,Europe,2531.0,35556,1.0,145
2/6/2022,Europe,1043.0,36599,2.0,147
2/13/2022,Europe,541.0,37140,1.0,148
2/20/2022,Europe,449.0,37589,2.0,150
2/27/2022,Europe,410.0,37999,1.0,151
3/13/2022,Europe,360.0,38794,1.0,152
3/20/2022,Europe,440.0,39234,1.0,153
8/7/2022,Europe,285.0,45793,1.0,154
9/11/2022,Europe,86.0,46113,1.0,155
11/20/2022,Europe,160.0,46824,1.0,156
12/4/2022,Europe,395.0,47219,1.0,157
12/11/2022,Europe,227.0,47446,1.0,158
1/8/2023,Europe,30.0,47781,1.0,159
5/24/2020,Africa,13.0,61,3.0,3
5/31/2020,Africa,23.0,84,1.0,4
6/14/2020,Africa,50.0,138,2.0,6
6/21/2020,Africa,34.0,172,2.0,8
6/28/2020,Africa,87.0,259,2.0,10
7/5/2020,Africa,87.0,346,9.0,19
7/12/2020,Africa,137.0,483,6.0,25
7/19/2020,Africa,204.0,687,4.0,29
7/26/2020,Africa,229.0,916,10.0,39
8/2/2020,Africa,248.0,1164,15.0,54
8/9/2020,Africa,408.0,1572,16.0,70
8/16/2020,Africa,307.0,1879,16.0,86
8/23/2020,Africa,255.0,2134,8.0,94
8/30/2020,Africa,417.0,2551,13.0,107
9/6/2020,Africa,384.0,2935,10.0,117
9/13/2020,Africa,400.0,3335,15.0,132
9/20/2020,Africa,566.0,3901,15.0,147
9/27/2020,Africa,771.0,4672,22.0,169
10/4/2020,Africa,698.0,5370,19.0,188
10/11/2020,Africa,876.0,6246,33.0,221
10/18/2020,Africa,1216.0,7462,23.0,244
10/25/2020,Africa,1564.0,9026,26.0,270
11/1/2020,Africa,1779.0,10805,17.0,287
11/8/2020,Africa,1530.0,12335,16.0,303
11/15/2020,Africa,1039.0,13374,19.0,322
11/22/2020,Africa,1039.0,14413,14.0,336
11/29/2020,Africa,674.0,15087,9.0,345
12/6/2020,Africa,449.0,15536,9.0,354
12/13/2020,Africa,625.0,16161,12.0,366
12/20/2020,Africa,465.0,16626,20.0,386
12/27/2020,Africa,523.0,17149,14.0,400
1/3/2021,Africa,459.0,17608,7.0,407
1/10/2021,Africa,548.0,18156,9.0,416
1/17/2021,Africa,609.0,18765,15.0,431
1/24/2021,Africa,602.0,19367,26.0,457
1/31/2021,Africa,415.0,19782,7.0,464
2/7/2021,Africa,280.0,20062,11.0,475
2/14/2021,Africa,267.0,20329,16.0,491
2/21/2021,Africa,170.0,20499,7.0,498
2/28/2021,Africa,283.0,20782,8.0,506
3/7/2021,Africa,273.0,21055,6.0,512
3/14/2021,Africa,268.0,21323,8.0,520
3/21/2021,Africa,373.0,21696,6.0,526
